alpha,epoch,meteor
Baseline,1,7.11
Baseline,2,10.69
Baseline,3,7.79
Baseline,4,4.94
Baseline,5,15.07
Baseline,6,5.82
Baseline,7,11.97
Baseline,8,14.36
Baseline,9,14.95
Baseline,10,13.82
Baseline,11,12.88
Baseline,12,17.36
Baseline,13,16.68
Baseline,14,15.97
Baseline,15,14.63
Baseline,16,18.16
Baseline,17,15.87
Baseline,18,15.56
Baseline,19,16.74
Baseline,20,15.89
Baseline,21,16.81
Baseline,22,17.57
Baseline,23,13.53
Baseline,24,18.13
Baseline,25,14.73
Baseline,26,15.66
Baseline,27,11.85
Baseline,28,16.47
Baseline,29,17.27
Baseline,30,15.55
Baseline,31,15.45
Baseline,32,13.74
Baseline,33,14.36
Baseline,34,13.49
Baseline,35,14.62
Baseline,36,13.12
Baseline,37,14.68
Baseline,38,14.94
Baseline,39,12.01
Baseline,40,14.67
Baseline,41,14.15
Baseline,42,14.01
Baseline,43,14.26
Baseline,44,12.07
Baseline,45,11.81
Baseline,46,14.01
Baseline,47,14.16
Baseline,48,13.81
Baseline,49,15.67
Baseline,50,14.36
Baseline,51,15.17
Baseline,52,12.71
Baseline,53,16.56
Baseline,54,14.33
Baseline,55,13.10
Baseline,56,13.78
Baseline,57,12.28
Baseline,58,13.99
Baseline,59,13.12
Baseline,60,14.63
Baseline,61,14.69
Baseline,62,13.18
Baseline,63,13.18
Baseline,64,13.15
Baseline,65,15.92
Baseline,66,13.66
Baseline,67,13.78
Baseline,68,12.98
Baseline,69,14.82
Baseline,70,13.27
Baseline,71,13.13
Baseline,72,11.24
Baseline,73,13.45
Baseline,74,12.33
Baseline,75,12.67
Baseline,76,13.24
Baseline,77,12.21
Baseline,78,12.98
Baseline,79,11.25
Baseline,80,13.42
Baseline,81,12.58
Baseline,82,11.84
Baseline,83,14.02
Baseline,84,12.94
Baseline,85,14.99
Baseline,86,13.14
Baseline,87,13.43
Baseline,88,13.18
Baseline,89,11.84
Baseline,90,12.38
Baseline,91,11.82
Baseline,92,13.11
Baseline,93,12.75
Baseline,94,13.37
Baseline,95,13.02
Baseline,96,12.56
Baseline,97,12.81
Baseline,98,11.82
Baseline,99,12.68
Baseline,100,13.37
Baseline,1,13.05
Baseline,2,14.32
Baseline,3,16.04
Baseline,4,12.67
Baseline,5,15.18
Baseline,6,11.42
Baseline,7,11.76
Baseline,8,14.50
Baseline,9,15.93
Baseline,10,13.37
Baseline,11,16.14
Baseline,12,16.01
Baseline,13,11.91
Baseline,14,15.89
Baseline,15,12.48
Baseline,16,13.71
Baseline,17,12.28
Baseline,18,13.79
Baseline,19,10.75
Baseline,20,14.22
Baseline,21,14.00
Baseline,22,10.69
Baseline,23,12.92
Baseline,24,12.14
Baseline,25,12.41
Baseline,26,12.30
Baseline,27,12.11
Baseline,28,12.86
Baseline,29,13.22
Baseline,30,12.65
Baseline,31,12.17
Baseline,32,12.17
Baseline,33,12.52
Baseline,34,11.07
Baseline,35,11.41
Baseline,36,11.25
Baseline,37,11.97
Baseline,38,12.03
Baseline,39,12.25
Baseline,40,13.23
Baseline,41,13.46
Baseline,42,13.03
Baseline,43,11.88
Baseline,44,10.44
Baseline,45,11.34
Baseline,46,12.90
Baseline,47,13.43
Baseline,48,10.93
Baseline,49,12.34
Baseline,50,11.48
Baseline,51,11.41
Baseline,52,12.33
Baseline,53,11.19
Baseline,54,11.48
Baseline,55,12.77
Baseline,56,12.86
Baseline,57,11.47
Baseline,58,11.47
Baseline,59,11.03
Baseline,60,11.24
Baseline,61,11.09
Baseline,62,12.10
Baseline,63,12.05
Baseline,64,11.65
Baseline,65,10.91
Baseline,66,12.00
Baseline,67,11.17
Baseline,68,12.06
Baseline,69,11.57
Baseline,70,11.58
Baseline,71,11.30
Baseline,72,11.31
Baseline,73,11.95
Baseline,74,10.96
Baseline,75,12.44
Baseline,76,12.27
Baseline,77,10.70
Baseline,78,12.42
Baseline,79,13.00
Baseline,80,11.86
Baseline,81,11.54
Baseline,82,11.66
Baseline,83,11.82
Baseline,84,12.58
Baseline,85,12.23
Baseline,86,12.34
Baseline,87,11.75
Baseline,88,11.32
Baseline,89,12.76
Baseline,90,12.90
Baseline,91,11.62
Baseline,92,11.65
Baseline,93,11.71
Baseline,94,12.45
Baseline,95,12.37
Baseline,96,12.07
Baseline,97,11.33
Baseline,98,11.65
Baseline,99,11.32
Baseline,100,11.29
Baseline,1,12.05
Baseline,2,13.78
Baseline,3,12.67
Baseline,4,13.36
Baseline,5,9.37
Baseline,6,9.84
Baseline,7,13.32
Baseline,8,13.13
Baseline,9,14.35
Baseline,10,16.29
Baseline,11,12.93
Baseline,12,15.05
Baseline,13,16.22
Baseline,14,10.99
Baseline,15,12.70
Baseline,16,11.50
Baseline,17,12.25
Baseline,18,13.82
Baseline,19,14.57
Baseline,20,12.19
Baseline,21,12.28
Baseline,22,11.03
Baseline,23,17.16
Baseline,24,11.45
Baseline,25,11.21
Baseline,26,12.44
Baseline,27,10.64
Baseline,28,11.53
Baseline,29,13.48
Baseline,30,11.73
Baseline,31,15.87
Baseline,32,12.57
Baseline,33,12.14
Baseline,34,11.39
Baseline,35,12.58
Baseline,36,12.80
Baseline,37,12.21
Baseline,38,12.07
Baseline,39,11.03
Baseline,40,12.06
Baseline,41,11.27
Baseline,42,12.59
Baseline,43,14.18
Baseline,44,11.69
Baseline,45,12.71
Baseline,46,12.41
Baseline,47,12.80
Baseline,48,12.15
Baseline,49,12.79
Baseline,50,11.32
Baseline,51,12.77
Baseline,52,13.83
Baseline,53,12.46
Baseline,54,12.12
Baseline,55,12.98
Baseline,56,12.04
Baseline,57,12.66
Baseline,58,11.21
Baseline,59,10.83
Baseline,60,10.97
Baseline,61,10.87
Baseline,62,12.27
Baseline,63,11.78
Baseline,64,12.53
Baseline,65,11.83
Baseline,66,11.65
Baseline,67,12.04
Baseline,68,11.48
Baseline,69,12.78
Baseline,70,12.69
Baseline,71,12.77
Baseline,72,12.81
Baseline,73,11.74
Baseline,74,11.76
Baseline,75,12.70
Baseline,76,12.47
Baseline,77,13.19
Baseline,78,12.40
Baseline,79,13.02
Baseline,80,11.50
Baseline,81,11.94
Baseline,82,12.65
Baseline,83,13.36
Baseline,84,12.16
Baseline,85,12.62
Baseline,86,12.93
Baseline,87,12.57
Baseline,88,12.01
Baseline,89,12.73
Baseline,90,12.52
Baseline,91,11.97
Baseline,92,12.16
Baseline,93,12.54
Baseline,94,11.88
Baseline,95,12.55
Baseline,96,12.28
Baseline,97,11.24
Baseline,98,12.69
Baseline,99,11.47
Baseline,100,12.71
Baseline,1,5.01
Baseline,2,5.27
Baseline,3,7.61
Baseline,4,14.95
Baseline,5,8.85
Baseline,6,13.46
Baseline,7,14.06
Baseline,8,19.03
Baseline,9,12.43
Baseline,10,17.45
Baseline,11,19.54
Baseline,12,18.21
Baseline,13,10.05
Baseline,14,10.96
Baseline,15,17.16
Baseline,16,11.46
Baseline,17,11.55
Baseline,18,15.84
Baseline,19,12.31
Baseline,20,13.84
Baseline,21,13.03
Baseline,22,10.88
Baseline,23,15.15
Baseline,24,12.25
Baseline,25,12.43
Baseline,26,13.05
Baseline,27,12.82
Baseline,28,11.66
Baseline,29,13.51
Baseline,30,16.55
Baseline,31,13.15
Baseline,32,12.73
Baseline,33,14.01
Baseline,34,12.97
Baseline,35,11.32
Baseline,36,12.73
Baseline,37,12.08
Baseline,38,13.90
Baseline,39,13.96
Baseline,40,11.26
Baseline,41,13.33
Baseline,42,12.83
Baseline,43,12.70
Baseline,44,13.40
Baseline,45,13.53
Baseline,46,13.48
Baseline,47,13.05
Baseline,48,13.05
Baseline,49,12.23
Baseline,50,12.74
Baseline,51,13.79
Baseline,52,14.13
Baseline,53,12.55
Baseline,54,13.49
Baseline,55,13.22
Baseline,56,14.42
Baseline,57,12.62
Baseline,58,12.80
Baseline,59,13.83
Baseline,60,12.62
Baseline,61,13.38
Baseline,62,14.08
Baseline,63,12.96
Baseline,64,12.60
Baseline,65,11.25
Baseline,66,13.59
Baseline,67,11.78
Baseline,68,12.59
Baseline,69,12.58
Baseline,70,14.01
Baseline,71,13.95
Baseline,72,13.25
Baseline,73,14.18
Baseline,74,12.71
Baseline,75,14.51
Baseline,76,13.34
Baseline,77,13.65
Baseline,78,12.58
Baseline,79,12.29
Baseline,80,13.98
Baseline,81,13.08
Baseline,82,13.41
Baseline,83,14.25
Baseline,84,12.15
Baseline,85,13.46
Baseline,86,13.56
Baseline,87,13.55
Baseline,88,13.38
Baseline,89,13.87
Baseline,90,13.08
Baseline,91,12.53
Baseline,92,12.44
Baseline,93,12.99
Baseline,94,13.06
Baseline,95,13.49
Baseline,96,12.91
Baseline,97,13.15
Baseline,98,12.94
Baseline,99,12.45
Baseline,100,13.35
Baseline,1,7.98
Baseline,2,10.37
Baseline,3,16.15
Baseline,4,12.80
Baseline,5,12.84
Baseline,6,10.70
Baseline,7,5.26
Baseline,8,15.82
Baseline,9,10.30
Baseline,10,15.57
Baseline,11,16.54
Baseline,12,13.69
Baseline,13,16.69
Baseline,14,11.56
Baseline,15,11.34
Baseline,16,13.89
Baseline,17,13.93
Baseline,18,13.74
Baseline,19,16.22
Baseline,20,11.65
Baseline,21,13.03
Baseline,22,16.38
Baseline,23,16.33
Baseline,24,11.68
Baseline,25,16.62
Baseline,26,16.28
Baseline,27,15.75
Baseline,28,12.14
Baseline,29,12.76
Baseline,30,10.45
Baseline,31,11.40
Baseline,32,15.04
Baseline,33,14.58
Baseline,34,10.94
Baseline,35,16.15
Baseline,36,11.96
Baseline,37,15.27
Baseline,38,15.91
Baseline,39,13.21
Baseline,40,14.31
Baseline,41,14.75
Baseline,42,11.36
Baseline,43,13.90
Baseline,44,13.83
Baseline,45,12.69
Baseline,46,11.62
Baseline,47,11.89
Baseline,48,12.61
Baseline,49,10.57
Baseline,50,12.24
Baseline,51,12.62
Baseline,52,11.36
Baseline,53,11.25
Baseline,54,12.24
Baseline,55,12.92
Baseline,56,10.24
Baseline,57,12.50
Baseline,58,12.00
Baseline,59,12.84
Baseline,60,10.71
Baseline,61,13.23
Baseline,62,11.84
Baseline,63,12.66
Baseline,64,12.20
Baseline,65,11.79
Baseline,66,10.55
Baseline,67,11.81
Baseline,68,12.70
Baseline,69,13.50
Baseline,70,13.69
Baseline,71,11.93
Baseline,72,11.33
Baseline,73,12.15
Baseline,74,10.94
Baseline,75,11.95
Baseline,76,12.06
Baseline,77,11.98
Baseline,78,11.15
Baseline,79,12.49
Baseline,80,12.96
Baseline,81,11.50
Baseline,82,12.98
Baseline,83,11.94
Baseline,84,11.81
Baseline,85,10.96
Baseline,86,11.60
Baseline,87,11.93
Baseline,88,13.86
Baseline,89,11.72
Baseline,90,12.27
Baseline,91,12.55
Baseline,92,12.27
Baseline,93,12.06
Baseline,94,11.90
Baseline,95,11.25
Baseline,96,11.87
Baseline,97,12.24
Baseline,98,11.75
Baseline,99,11.96
Baseline,100,11.47
1E-3,1,12.75
1E-3,2,7.25
1E-3,3,11.22
1E-3,4,16.15
1E-3,5,12.55
1E-3,6,6.52
1E-3,7,4.18
1E-3,8,18.71
1E-3,9,10.70
1E-3,10,13.99
1E-3,11,11.14
1E-3,12,11.80
1E-3,13,9.04
1E-3,14,10.85
1E-3,15,12.10
1E-3,16,11.14
1E-3,17,12.42
1E-3,18,13.65
1E-3,19,11.14
1E-3,20,11.35
1E-3,21,15.66
1E-3,22,12.70
1E-3,23,12.48
1E-3,24,12.46
1E-3,25,10.22
1E-3,26,16.39
1E-3,27,14.39
1E-3,28,14.11
1E-3,29,11.36
1E-3,30,12.58
1E-3,31,13.05
1E-3,32,12.24
1E-3,33,12.40
1E-3,34,12.31
1E-3,35,11.86
1E-3,36,12.63
1E-3,37,12.09
1E-3,38,11.42
1E-3,39,12.36
1E-3,40,14.17
1E-3,41,12.33
1E-3,42,13.76
1E-3,43,13.08
1E-3,44,11.60
1E-3,45,11.65
1E-3,46,11.74
1E-3,47,12.80
1E-3,48,11.21
1E-3,49,13.21
1E-3,50,11.74
1E-3,51,11.51
1E-3,52,10.67
1E-3,53,13.38
1E-3,54,13.08
1E-3,55,12.04
1E-3,56,13.45
1E-3,57,13.35
1E-3,58,12.18
1E-3,59,12.03
1E-3,60,12.11
1E-3,61,12.98
1E-3,62,13.45
1E-3,63,12.08
1E-3,64,13.36
1E-3,65,13.01
1E-3,66,12.63
1E-3,67,11.86
1E-3,68,13.20
1E-3,69,12.97
1E-3,70,13.18
1E-3,71,12.03
1E-3,72,11.90
1E-3,73,13.61
1E-3,74,12.31
1E-3,75,12.13
1E-3,76,11.96
1E-3,77,12.81
1E-3,78,12.89
1E-3,79,11.50
1E-3,80,12.70
1E-3,81,12.17
1E-3,82,13.19
1E-3,83,13.31
1E-3,84,13.13
1E-3,85,12.81
1E-3,86,11.92
1E-3,87,12.07
1E-3,88,13.12
1E-3,89,12.85
1E-3,90,12.96
1E-3,91,11.49
1E-3,92,12.65
1E-3,93,12.96
1E-3,94,12.75
1E-3,95,12.12
1E-3,96,11.92
1E-3,97,12.39
1E-3,98,11.88
1E-3,99,12.45
1E-3,100,12.59
1E-3,1,7.97
1E-3,2,11.22
1E-3,3,12.67
1E-3,4,12.67
1E-3,5,12.90
1E-3,6,17.74
1E-3,7,10.48
1E-3,8,11.70
1E-3,9,13.18
1E-3,10,9.12
1E-3,11,10.24
1E-3,12,10.67
1E-3,13,12.46
1E-3,14,14.02
1E-3,15,12.49
1E-3,16,11.78
1E-3,17,11.65
1E-3,18,13.55
1E-3,19,13.39
1E-3,20,12.34
1E-3,21,11.83
1E-3,22,10.92
1E-3,23,11.90
1E-3,24,14.05
1E-3,25,12.88
1E-3,26,14.07
1E-3,27,12.73
1E-3,28,11.80
1E-3,29,12.70
1E-3,30,12.12
1E-3,31,13.57
1E-3,32,14.17
1E-3,33,14.92
1E-3,34,15.64
1E-3,35,14.47
1E-3,36,13.86
1E-3,37,11.41
1E-3,38,12.80
1E-3,39,14.53
1E-3,40,14.00
1E-3,41,12.60
1E-3,42,12.19
1E-3,43,16.48
1E-3,44,12.89
1E-3,45,12.98
1E-3,46,14.03
1E-3,47,13.09
1E-3,48,13.52
1E-3,49,13.05
1E-3,50,13.49
1E-3,51,14.52
1E-3,52,13.02
1E-3,53,12.94
1E-3,54,10.95
1E-3,55,14.01
1E-3,56,14.68
1E-3,57,12.95
1E-3,58,12.72
1E-3,59,15.32
1E-3,60,14.01
1E-3,61,13.29
1E-3,62,12.71
1E-3,63,13.41
1E-3,64,13.24
1E-3,65,11.89
1E-3,66,13.20
1E-3,67,12.45
1E-3,68,12.32
1E-3,69,12.38
1E-3,70,14.75
1E-3,71,13.25
1E-3,72,12.37
1E-3,73,12.56
1E-3,74,13.73
1E-3,75,13.79
1E-3,76,12.29
1E-3,77,11.66
1E-3,78,13.55
1E-3,79,14.00
1E-3,80,13.59
1E-3,81,13.23
1E-3,82,13.93
1E-3,83,11.78
1E-3,84,11.66
1E-3,85,13.19
1E-3,86,13.95
1E-3,87,11.83
1E-3,88,12.31
1E-3,89,12.89
1E-3,90,12.38
1E-3,91,11.57
1E-3,92,12.04
1E-3,93,12.79
1E-3,94,14.19
1E-3,95,13.07
1E-3,96,12.12
1E-3,97,12.73
1E-3,98,14.28
1E-3,99,13.71
1E-3,100,12.17
1E-3,1,8.60
1E-3,2,12.54
1E-3,3,13.22
1E-3,4,12.06
1E-3,5,12.93
1E-3,6,14.95
1E-3,7,15.73
1E-3,8,16.91
1E-3,9,11.85
1E-3,10,10.71
1E-3,11,16.11
1E-3,12,12.28
1E-3,13,13.24
1E-3,14,16.23
1E-3,15,11.75
1E-3,16,10.76
1E-3,17,12.46
1E-3,18,13.96
1E-3,19,16.01
1E-3,20,12.04
1E-3,21,14.16
1E-3,22,13.56
1E-3,23,13.62
1E-3,24,17.15
1E-3,25,15.32
1E-3,26,11.46
1E-3,27,15.02
1E-3,28,16.18
1E-3,29,14.52
1E-3,30,16.21
1E-3,31,16.09
1E-3,32,15.95
1E-3,33,11.13
1E-3,34,11.06
1E-3,35,12.31
1E-3,36,13.09
1E-3,37,13.15
1E-3,38,11.81
1E-3,39,13.91
1E-3,40,12.79
1E-3,41,12.47
1E-3,42,11.62
1E-3,43,12.06
1E-3,44,13.16
1E-3,45,12.33
1E-3,46,12.28
1E-3,47,12.18
1E-3,48,14.24
1E-3,49,12.75
1E-3,50,12.66
1E-3,51,12.56
1E-3,52,12.46
1E-3,53,13.04
1E-3,54,12.48
1E-3,55,13.72
1E-3,56,13.16
1E-3,57,14.59
1E-3,58,12.14
1E-3,59,13.26
1E-3,60,12.53
1E-3,61,11.17
1E-3,62,13.87
1E-3,63,10.99
1E-3,64,12.31
1E-3,65,12.19
1E-3,66,13.31
1E-3,67,11.52
1E-3,68,12.56
1E-3,69,13.69
1E-3,70,12.77
1E-3,71,12.91
1E-3,72,12.01
1E-3,73,12.22
1E-3,74,13.19
1E-3,75,13.11
1E-3,76,12.91
1E-3,77,12.71
1E-3,78,12.52
1E-3,79,12.20
1E-3,80,12.46
1E-3,81,12.32
1E-3,82,11.89
1E-3,83,13.90
1E-3,84,11.92
1E-3,85,12.02
1E-3,86,12.66
1E-3,87,14.83
1E-3,88,12.60
1E-3,89,12.82
1E-3,90,12.82
1E-3,91,12.09
1E-3,92,12.92
1E-3,93,12.50
1E-3,94,12.24
1E-3,95,12.50
1E-3,96,12.50
1E-3,97,11.63
1E-3,98,12.96
1E-3,99,11.60
1E-3,100,12.28
1E-3,1,9.92
1E-3,2,16.85
1E-3,3,16.15
1E-3,4,12.65
1E-3,5,14.60
1E-3,6,13.29
1E-3,7,6.72
1E-3,8,10.21
1E-3,9,13.14
1E-3,10,6.65
1E-3,11,9.61
1E-3,12,12.99
1E-3,13,15.85
1E-3,14,14.82
1E-3,15,9.73
1E-3,16,11.58
1E-3,17,11.87
1E-3,18,16.26
1E-3,19,11.89
1E-3,20,14.03
1E-3,21,11.58
1E-3,22,14.46
1E-3,23,14.94
1E-3,24,14.41
1E-3,25,14.82
1E-3,26,11.42
1E-3,27,11.44
1E-3,28,11.03
1E-3,29,10.33
1E-3,30,10.91
1E-3,31,10.76
1E-3,32,13.06
1E-3,33,12.37
1E-3,34,12.82
1E-3,35,10.52
1E-3,36,13.22
1E-3,37,13.54
1E-3,38,13.11
1E-3,39,13.68
1E-3,40,11.59
1E-3,41,12.35
1E-3,42,13.14
1E-3,43,14.02
1E-3,44,12.11
1E-3,45,14.43
1E-3,46,12.50
1E-3,47,12.37
1E-3,48,11.99
1E-3,49,13.56
1E-3,50,11.69
1E-3,51,11.06
1E-3,52,14.42
1E-3,53,11.24
1E-3,54,12.66
1E-3,55,12.64
1E-3,56,12.46
1E-3,57,12.62
1E-3,58,13.17
1E-3,59,12.91
1E-3,60,12.39
1E-3,61,11.57
1E-3,62,11.36
1E-3,63,13.26
1E-3,64,11.96
1E-3,65,12.67
1E-3,66,12.47
1E-3,67,11.61
1E-3,68,11.75
1E-3,69,12.90
1E-3,70,11.44
1E-3,71,11.61
1E-3,72,12.68
1E-3,73,12.71
1E-3,74,11.34
1E-3,75,11.68
1E-3,76,11.47
1E-3,77,12.05
1E-3,78,11.57
1E-3,79,11.39
1E-3,80,12.33
1E-3,81,11.36
1E-3,82,12.20
1E-3,83,11.07
1E-3,84,12.53
1E-3,85,12.12
1E-3,86,11.66
1E-3,87,11.31
1E-3,88,12.16
1E-3,89,11.79
1E-3,90,11.44
1E-3,91,11.97
1E-3,92,11.85
1E-3,93,11.74
1E-3,94,11.92
1E-3,95,11.93
1E-3,96,10.93
1E-3,97,11.84
1E-3,98,12.07
1E-3,99,11.71
1E-3,100,11.14
1E-3,1,5.36
1E-3,2,8.40
1E-3,3,13.66
1E-3,4,13.27
1E-3,5,11.07
1E-3,6,15.36
1E-3,7,14.03
1E-3,8,15.93
1E-3,9,14.32
1E-3,10,17.76
1E-3,11,17.77
1E-3,12,17.61
1E-3,13,15.75
1E-3,14,17.60
1E-3,15,16.88
1E-3,16,18.40
1E-3,17,14.33
1E-3,18,15.13
1E-3,19,12.38
1E-3,20,12.26
1E-3,21,13.52
1E-3,22,15.30
1E-3,23,10.38
1E-3,24,11.59
1E-3,25,14.21
1E-3,26,15.33
1E-3,27,14.83
1E-3,28,11.53
1E-3,29,13.05
1E-3,30,12.22
1E-3,31,12.67
1E-3,32,12.42
1E-3,33,14.05
1E-3,34,14.05
1E-3,35,13.12
1E-3,36,13.25
1E-3,37,15.12
1E-3,38,14.88
1E-3,39,12.65
1E-3,40,14.63
1E-3,41,14.68
1E-3,42,13.86
1E-3,43,13.22
1E-3,44,16.95
1E-3,45,10.94
1E-3,46,13.24
1E-3,47,14.10
1E-3,48,12.73
1E-3,49,14.39
1E-3,50,12.62
1E-3,51,12.22
1E-3,52,13.35
1E-3,53,12.05
1E-3,54,13.99
1E-3,55,13.02
1E-3,56,13.65
1E-3,57,12.15
1E-3,58,13.79
1E-3,59,12.85
1E-3,60,12.15
1E-3,61,11.87
1E-3,62,12.71
1E-3,63,14.05
1E-3,64,11.45
1E-3,65,12.16
1E-3,66,13.08
1E-3,67,12.92
1E-3,68,13.63
1E-3,69,13.77
1E-3,70,14.21
1E-3,71,13.83
1E-3,72,13.26
1E-3,73,11.87
1E-3,74,13.19
1E-3,75,12.37
1E-3,76,11.86
1E-3,77,12.19
1E-3,78,14.32
1E-3,79,12.48
1E-3,80,12.37
1E-3,81,11.32
1E-3,82,13.23
1E-3,83,12.58
1E-3,84,12.06
1E-3,85,13.70
1E-3,86,12.54
1E-3,87,13.49
1E-3,88,11.94
1E-3,89,12.89
1E-3,90,12.11
1E-3,91,12.19
1E-3,92,12.16
1E-3,93,12.29
1E-3,94,12.71
1E-3,95,11.99
1E-3,96,12.34
1E-3,97,12.79
1E-3,98,12.26
1E-3,99,12.85
1E-3,100,11.63
1E-2,1,14.09
1E-2,2,15.30
1E-2,3,8.46
1E-2,4,12.29
1E-2,5,16.32
1E-2,6,14.17
1E-2,7,13.01
1E-2,8,10.96
1E-2,9,9.27
1E-2,10,16.60
1E-2,11,14.54
1E-2,12,16.61
1E-2,13,14.41
1E-2,14,14.39
1E-2,15,12.99
1E-2,16,9.91
1E-2,17,11.68
1E-2,18,13.77
1E-2,19,12.12
1E-2,20,15.65
1E-2,21,15.91
1E-2,22,12.57
1E-2,23,17.92
1E-2,24,12.39
1E-2,25,12.68
1E-2,26,13.14
1E-2,27,15.39
1E-2,28,12.70
1E-2,29,12.30
1E-2,30,11.93
1E-2,31,12.29
1E-2,32,11.86
1E-2,33,11.97
1E-2,34,11.98
1E-2,35,13.08
1E-2,36,10.93
1E-2,37,11.35
1E-2,38,10.66
1E-2,39,11.40
1E-2,40,13.01
1E-2,41,12.76
1E-2,42,14.07
1E-2,43,12.98
1E-2,44,12.80
1E-2,45,11.73
1E-2,46,13.36
1E-2,47,13.57
1E-2,48,12.07
1E-2,49,12.19
1E-2,50,11.57
1E-2,51,11.84
1E-2,52,12.23
1E-2,53,11.89
1E-2,54,10.89
1E-2,55,13.70
1E-2,56,12.76
1E-2,57,12.30
1E-2,58,12.82
1E-2,59,11.81
1E-2,60,11.42
1E-2,61,11.16
1E-2,62,11.38
1E-2,63,12.21
1E-2,64,11.62
1E-2,65,12.58
1E-2,66,13.21
1E-2,67,11.45
1E-2,68,12.80
1E-2,69,11.50
1E-2,70,11.20
1E-2,71,11.87
1E-2,72,11.26
1E-2,73,11.73
1E-2,74,12.39
1E-2,75,12.15
1E-2,76,13.90
1E-2,77,12.11
1E-2,78,12.69
1E-2,79,11.77
1E-2,80,12.86
1E-2,81,12.88
1E-2,82,13.30
1E-2,83,12.25
1E-2,84,12.95
1E-2,85,12.36
1E-2,86,11.49
1E-2,87,11.88
1E-2,88,12.40
1E-2,89,12.18
1E-2,90,11.86
1E-2,91,12.63
1E-2,92,12.96
1E-2,93,13.60
1E-2,94,12.64
1E-2,95,12.53
1E-2,96,12.07
1E-2,97,13.15
1E-2,98,12.25
1E-2,99,13.20
1E-2,100,12.47
1E-2,1,13.90
1E-2,2,14.48
1E-2,3,12.76
1E-2,4,14.86
1E-2,5,15.99
1E-2,6,16.23
1E-2,7,14.98
1E-2,8,17.40
1E-2,9,18.05
1E-2,10,15.24
1E-2,11,13.95
1E-2,12,12.24
1E-2,13,13.98
1E-2,14,16.87
1E-2,15,14.93
1E-2,16,15.37
1E-2,17,15.40
1E-2,18,15.79
1E-2,19,16.75
1E-2,20,18.08
1E-2,21,15.50
1E-2,22,12.10
1E-2,23,15.98
1E-2,24,17.41
1E-2,25,14.84
1E-2,26,14.43
1E-2,27,14.48
1E-2,28,12.03
1E-2,29,10.40
1E-2,30,11.86
1E-2,31,10.90
1E-2,32,13.23
1E-2,33,13.12
1E-2,34,11.64
1E-2,35,12.98
1E-2,36,10.77
1E-2,37,13.14
1E-2,38,11.83
1E-2,39,13.26
1E-2,40,13.55
1E-2,41,14.12
1E-2,42,14.14
1E-2,43,15.91
1E-2,44,13.21
1E-2,45,11.69
1E-2,46,12.59
1E-2,47,12.89
1E-2,48,12.54
1E-2,49,15.01
1E-2,50,14.05
1E-2,51,13.01
1E-2,52,13.40
1E-2,53,11.98
1E-2,54,13.18
1E-2,55,14.47
1E-2,56,13.43
1E-2,57,12.96
1E-2,58,13.78
1E-2,59,14.55
1E-2,60,13.81
1E-2,61,13.27
1E-2,62,13.73
1E-2,63,11.96
1E-2,64,13.74
1E-2,65,12.88
1E-2,66,13.43
1E-2,67,11.73
1E-2,68,13.19
1E-2,69,13.43
1E-2,70,14.02
1E-2,71,12.83
1E-2,72,11.41
1E-2,73,12.33
1E-2,74,12.61
1E-2,75,13.22
1E-2,76,13.22
1E-2,77,13.14
1E-2,78,13.40
1E-2,79,13.36
1E-2,80,14.32
1E-2,81,13.79
1E-2,82,13.14
1E-2,83,13.11
1E-2,84,13.36
1E-2,85,13.43
1E-2,86,13.32
1E-2,87,14.04
1E-2,88,12.90
1E-2,89,13.14
1E-2,90,13.24
1E-2,91,13.61
1E-2,92,14.19
1E-2,93,13.78
1E-2,94,13.93
1E-2,95,12.81
1E-2,96,13.64
1E-2,97,13.29
1E-2,98,13.28
1E-2,99,13.34
1E-2,100,13.59
1E-2,1,11.18
1E-2,2,13.89
1E-2,3,16.86
1E-2,4,15.60
1E-2,5,16.68
1E-2,6,13.32
1E-2,7,16.08
1E-2,8,16.34
1E-2,9,17.31
1E-2,10,11.49
1E-2,11,16.65
1E-2,12,12.33
1E-2,13,16.48
1E-2,14,12.03
1E-2,15,10.01
1E-2,16,17.07
1E-2,17,11.35
1E-2,18,12.95
1E-2,19,16.17
1E-2,20,11.56
1E-2,21,12.11
1E-2,22,14.35
1E-2,23,13.19
1E-2,24,12.05
1E-2,25,11.73
1E-2,26,13.17
1E-2,27,11.35
1E-2,28,12.29
1E-2,29,13.02
1E-2,30,12.08
1E-2,31,13.84
1E-2,32,14.73
1E-2,33,11.74
1E-2,34,11.57
1E-2,35,11.77
1E-2,36,14.25
1E-2,37,13.73
1E-2,38,12.63
1E-2,39,11.88
1E-2,40,13.26
1E-2,41,11.26
1E-2,42,13.01
1E-2,43,12.70
1E-2,44,12.20
1E-2,45,13.80
1E-2,46,13.26
1E-2,47,11.64
1E-2,48,12.77
1E-2,49,12.90
1E-2,50,13.44
1E-2,51,13.07
1E-2,52,12.50
1E-2,53,14.36
1E-2,54,10.74
1E-2,55,11.51
1E-2,56,12.95
1E-2,57,12.94
1E-2,58,12.30
1E-2,59,11.48
1E-2,60,12.06
1E-2,61,10.49
1E-2,62,13.23
1E-2,63,11.53
1E-2,64,12.58
1E-2,65,12.40
1E-2,66,13.26
1E-2,67,12.80
1E-2,68,13.65
1E-2,69,12.51
1E-2,70,13.85
1E-2,71,12.92
